"V01","V02","V03","V04","V05","V06","V07","V08","V09","V10","Response"
6.417,19.777,1.251,4,9.399,"M2",2.936,1.069,62.091,7,-61.01
7.096,19.314,1.136,2,10.536,"M1",3.622,0.576,56.744,8,-70.965
7.04,20.326,1.237,1,11.303,"M1",2.061,1.141,62.871,6,-71.971
6.775,21.061,1.023,1,9.175,"M1",3.555,1.238,64.978,5,-77.689
7.1,19.206,1.258,2,9.798,"M3",3.175,1.302,53.97,6,-65.149
6.635,20.082,1.255,1,10.52,"M1",3.564,1.103,62.942,4,-73.199
6.488,19.935,1.338,1,9.43,"M1",2.058,0.949,58.575,6,-72.952
6.942,19.238,0.951,2,9.472,"M1",3.261,1.087,55.4,9,-66.465
6.754,20.817,1.07,0,10.079,"M1",2.781,1.103,64.221,4,-76.963
7.363,20.099,1.183,0,10.522,"M1",2.413,1.051,54.411,5,-69.956
6.453,19.645,1.18,2,10.201,"M2",3.57,0.663,62.956,6,-62.885
6.677,20.454,1.123,2,9.962,"M1",2.84,0.864,64.959,4,-76.326
7.28,20.736,1.064,1,10.704,"M1",2.824,1.013,63.714,5,-72.227
7.43,19.066,1.288,0,11.141,"M2",3.097,1.042,59.15,4,-53.031
7.266,20.029,1.326,1,11.289,"M1",3.784,1.078,58.644,5,-71.284
7.585,19.901,1.105,2,10.849,"M2",2.395,1.386,64.538,4,-54.68
6.659,20.632,1.24,1,10.591,"M1",2.692,0.889,57.827,9,-74.823
7.112,19.022,1.4,0,10.184,"M1",2.023,1.178,57.457,7,-66.79
6.66,22.149,1.34,1,10.789,"M1",2.849,0.766,69.017,6,-86.409
6.367,20.702,1.241,3,8.218,"M3",3.492,0.352,58.286,11,-82.661
7.33,19.628,0.876,1,11.293,"M1",2.291,0.811,58.368,6,-68.846
7.648,19.191,1.154,0,10.925,"M2",3.719,1.132,54.291,7,-53.254
7.507,18.813,1.246,0,11.936,"M1",3.953,1.059,59.364,4,-66.055
6.293,17.796,1.179,0,9.52,"M1",2.771,0.891,51.43,7,-64.732
6.494,19.004,1.457,3,9.974,"M2",3.761,1.03,58.204,4,-58.578
7.193,19.394,1.209,0,10.591,"M1",2.911,0.825,55.793,7,-68.319
7.186,20.465,1.198,1,10.811,"M2",3.106,1.303,62.961,9,-61.381
7.022,18.648,1.43,0,10.262,"M1",2.937,0.828,56.95,5,-67.039
6.469,19.452,1.053,1,10.236,"M2",2.777,0.78,54.16,6,-59.551
6.467,19.941,1.127,2,9.206,"M1",3.504,0.735,61.055,5,-73.714
6.828,19.769,1.161,0,9.485,"M1",2.989,1.049,58.735,6,-70.447
7.083,19.912,1.076,0,10.503,"M1",3.386,1.005,54.148,8,-69.307
6.603,20.384,1.351,0,10.352,"M1",2.467,0.79,68.335,4,-75.96
7.035,19.551,0.965,1,11.236,"M1",2.04,0.924,55.262,4,-69.587
7.262,22.302,1.354,0,10.656,"M1",2.611,0.979,68.972,4,-81.125
6.269,20.044,1.133,1,9.058,"M1",3.807,0.94,56.268,6,-74.142
6.34,19.294,1.332,1,9.357,"M2",2.005,0.961,56.431,7,-57.993
6.628,18.842,1.333,1,10.457,"M3",2.422,0.834,55.567,2,-69.103
6.875,19.493,1.108,0,10.183,"M1",3.154,0.927,55.969,7,-67.756
7.472,19.272,1.164,0,10.357,"M2",2.648,0.759,59.938,6,-54.647
7.152,19.126,1.064,0,11.66,"M1",3.316,1.294,56.203,7,-62.577
7.048,19.028,1.388,0,10.962,"M3",3.353,0.987,55.954,7,-67.337
7.522,20.587,1.124,1,12.587,"M2",3.649,0.981,59.138,7,-59.394
7.105,21.473,1.258,0,10.377,"M1",2.726,0.868,61.439,7,-77.354
6.327,18.929,1.126,0,9.803,"M1",3.695,0.8,60.603,3,-72.129
6.456,19.635,1.192,2,9.784,"M3",2.873,1.027,58.752,9,-71.395
7.347,18.785,1.272,1,11.974,"M1",3.08,0.803,57.929,3,-65.804
