"V01","V02","V03","V04","V05","V06","V07","V08","V09","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","Response"
6.511,19.049,1.243,1,9.045,"M1",3.861,1.267,54.416,5,7.029,0.762,0.695,8.125,"ja",41,0.48,8.308,11,24.976,12.073
7.461,19.471,1.264,0,11.006,"M3",3.242,0.809,58.264,5,4.354,0.784,0.793,9.847,"ja",49,0.578,6.729,4,8.49,12.986
6.84,19.214,1.128,2,10.043,"M3",3.221,0.735,57.256,5,1.956,0.636,0.584,7.823,"ja",39,0.221,6.942,7,16.887,14.03
7.507,19.203,1.3,3,10.648,"M1",2.488,0.915,57.445,4,3.014,0.71,0.914,9.181,"nein",46,0.642,8.146,8,18.801,29.018
7.101,20.484,1.2,1,9.961,"M1",3.838,1.038,61.589,4,1.534,0.529,0.937,7.209,"ja",36,0.918,7.518,7,15.516,17.585
6.024,19.939,1.131,1,8.549,"M2",3.123,0.813,58.045,4,1.739,0.614,0.939,9.904,"nein",50,0.364,6.97,7,16.56,9.114
6.921,20.311,1.228,1,10.395,"M1",3.931,0.887,59.957,6,2.077,0.748,0.5,7.977,"nein",40,0.04,7.391,8,17.01,26.912
6.37,20.857,1.231,0,9.578,"M2",2.985,1.041,61.91,7,5.321,0.782,0.643,9.338,"ja",48,0.64,6.954,6,14.546,11.434
6.442,20.86,1.138,0,9.787,"M1",2.162,1.364,59.58,6,3.353,0.695,0.52,7.379,"nein",37,0.146,7.719,7,14.427,21.069
6.587,20.998,1.195,0,9.252,"M1",3.822,1.055,64.586,7,2.787,0.811,0.691,9.548,"nein",47,0.575,6.289,10,23.58,23.871
7.319,20.64,1.155,2,10.084,"M2",2.836,1.211,63.379,6,1.988,0.897,0.941,7.194,"ja",36,0.796,8.202,6,12.019,21.612
7.132,21.533,1.31,0,9.498,"M1",2.187,0.95,63.013,6,3.475,0.738,0.676,9.073,"ja",45,0.704,7.347,8,17.256,12.492
7.634,18.45,1.405,2,11.589,"M1",3.934,1.159,55.224,8,6.308,0.815,0.789,9.306,"ja",45,0.926,6.852,9,19.189,17.614
7.449,19.305,1.038,0,10.86,"M1",2.54,0.703,56.426,8,1.372,0.713,0.931,9.286,"ja",47,0.479,7.125,7,14.841,17.615
7.207,19.626,0.924,1,10.115,"M1",3.029,1.26,61.864,6,6.839,0.807,0.875,8.825,"ja",44,0.336,5.929,10,22.666,17.192
6.779,20.803,1.149,0,10.329,"M1",3.611,0.77,63.255,4,1.588,0.71,0.551,9.578,"ja",47,0.004,6.072,5,10.715,10.08
6.907,19.592,1.167,2,11.077,"M1",3.531,0.974,58.257,5,4.116,0.75,0.614,8.145,"ja",41,0.654,6.759,10,21.741,15.529
6.636,18.795,1.098,0,10.115,"M1",3.508,0.895,56.364,5,4.102,0.709,0.501,7.838,"ja",38,0.464,7.718,8,17.769,14.469
6.658,19.454,1.345,1,10.551,"M1",2.519,0.738,58.731,8,4.481,0.739,0.803,8.523,"nein",44,0.302,7.831,10,22.592,25.609
6.465,19.692,1.28,1,10.347,"M2",2.031,0.826,61.174,6,2.731,0.918,0.848,7.086,"nein",36,0.025,7.424,10,21.379,29.375
6.569,20.258,1.127,0,9.478,"M1",2.361,1.185,58.207,3,1.871,0.863,0.413,9.059,"ja",45,0.229,7.016,10,21.805,12.17
6.754,20.198,1.36,1,9.867,"M2",2.261,0.819,61.654,6,4.451,0.775,0.42,8.465,"nein",42,0.212,5.626,9,21.073,30.912
6.911,18.715,1.292,0,11.103,"M1",2.572,0.973,60.876,9,6.872,0.758,0.737,7.933,"ja",40,0.97,6.783,6,13.251,13.267
7.108,21.545,1.106,1,10.828,"M3",3.708,1.096,67.501,3,1.692,0.726,0.739,7.392,"nein",38,0.532,7.723,10,24.172,28.26
6.921,20.968,1.103,1,9.813,"M1",3.021,1.231,62.888,7,2.207,0.885,0.543,10.054,"ja",48,0.869,6.892,10,23.079,13.255
6.304,20.45,1.263,0,9.54,"M1",1.982,1.044,60.226,4,2.296,0.815,0.531,7.126,"nein",35,0.109,5.883,11,23.875,22.586
6.758,19.89,1.218,3,9.797,"M2",3.909,1.08,56.613,7,6.88,0.886,0.92,9.386,"nein",46,0.286,4.96,8,17.414,29.753
7.544,20.089,1.196,2,12.719,"M1",3.8,0.897,57.496,7,2.699,0.849,0.581,7.867,"ja",39,0.717,7.411,8,18.618,19.422
6.881,19.337,1.201,0,10.577,"M1",2.079,1.092,57.564,3,6.317,0.798,0.771,9.504,"ja",47,0.472,7.5,8,17.708,11.16
7.269,20.003,1.375,1,10.656,"M1",2.93,0.855,61.556,7,2.493,0.773,0.671,9.588,"nein",48,0.538,7.409,6,13.642,26.682
7.394,19.596,1.109,2,10.803,"M2",3.356,0.754,59.47,7,4.791,0.702,0.957,8.701,"ja",43,0.824,5.597,7,14.299,21.822
7.584,20.04,1.146,1,10.532,"M3",2.7,0.585,61.657,7,3.131,0.744,0.967,9.488,"ja",49,0.261,7.683,6,14.092,17.265
6.998,19.483,1.08,0,10.838,"M1",2.885,1.153,55.256,8,6.949,0.907,0.891,8.383,"nein",42,0.568,6.718,4,9.839,25.337
7.386,20.752,1.176,0,10.775,"M1",3.238,0.92,65.268,9,5.769,0.993,0.422,9.159,"nein",48,0.293,6.876,10,22.053,32.108
6.917,18.699,1.252,0,10.211,"M1",3.174,0.975,55.168,9,6.819,0.67,0.894,6.999,"nein",35,0.389,6.967,10,19.235,27.451
7.208,20.506,1.06,2,11.082,"M1",3.015,0.913,61.142,6,4.36,0.678,0.929,9.223,"nein",47,0.791,7.524,9,19.098,29.752
7.358,19.095,1.218,1,12.419,"M1",3.338,0.968,58.161,9,5.663,0.853,0.412,8.563,"ja",43,0.6,7.118,10,24.186,19.831
6.754,20.911,1.22,1,10.018,"M1",2.198,0.566,64.21,5,4.282,0.696,0.454,7.835,"nein",40,0.379,9.119,4,8.799,23.073
6.392,19.047,1.159,1,9.021,"M1",3.174,1.215,59.783,6,1.037,0.699,0.657,8.599,"ja",43,0.329,7.04,5,11.417,7.422
7.067,18.085,1.177,0,11.085,"M1",3.434,1.084,51.854,6,1.965,0.615,0.83,8.427,"ja",42,0.296,6.898,7,15.28,14.38
6.992,19.943,1.317,0,11.49,"M2",3.088,0.816,59.493,5,1.139,0.748,0.965,9.244,"ja",46,0.379,5.663,8,18.252,17.598
6.459,21.322,1.29,2,10.063,"M2",3.754,0.975,66.996,5,6.782,0.868,0.717,9.189,"ja",46,0.394,6.498,11,23.356,14.196
7.33,20.119,1.1,0,10.458,"M2",3.199,1.175,59.917,6,5.591,0.666,0.779,8.361,"ja",42,0.07,6.773,6,13.702,20.956
6.927,20.211,1.279,3,9.275,"M1",3.504,0.948,61.115,7,1.507,0.738,1.001,7.62,"nein",38,0.89,7.639,9,19.273,26.121
7.499,20.205,1.351,0,11.167,"M1",2.74,0.945,60.84,6,4.619,0.767,0.734,9.232,"nein",45,0.814,6.669,5,11.336,28.283
8.049,19.869,0.991,1,11.947,"M3",2.158,1.001,58.655,8,3.261,0.717,0.961,9.759,"ja",49,0.615,7.824,1,2.125,15.689
6.754,19.268,1.173,0,9.35,"M2",2.78,0.875,56.967,6,2.292,0.751,1.013,9.593,"ja",47,0.835,7.755,6,13.923,14.513
6.731,19.762,1.294,0,9.547,"M1",2.986,0.758,60.989,5,4.901,0.771,0.774,7.005,"ja",35,0.005,8.366,12,28.015,15.982
7.201,20.389,1.362,0,11.564,"M1",3.076,1.383,64.316,7,6.964,0.783,0.959,7.869,"ja",38,0.149,6.618,6,11.08,13.206
6.492,21.615,1.132,1,9.947,"M3",2.151,0.981,59.746,6,4.381,0.928,0.501,6.997,"ja",36,0.189,7.544,4,9.178,10.666
7.263,19.985,0.991,2,10.213,"M1",2.61,1.045,59.963,6,1.848,0.856,0.752,7.174,"ja",36,0.895,6.35,6,12.193,17.828
7.083,20.557,1.29,0,11.29,"M1",2.96,0.594,62.918,6,3.178,0.774,0.54,9.521,"ja",48,0.594,6.822,12,27.242,15.073
7.834,18.542,1.21,0,12.412,"M1",2.94,0.881,56.28,5,1.747,0.637,0.603,7.547,"nein",37,0.554,6.389,7,15.92,36.068
7.199,22.621,1.359,0,9.147,"M1",2.922,0.956,67.572,6,4.625,0.726,0.763,7.741,"ja",39,0.865,7.66,7,15.073,14.305
7.432,19.022,1.204,1,10.679,"M2",3.516,1.279,60.148,4,2.807,0.794,0.638,7.764,"ja",38,0.512,5.984,7,13.929,22.92
6.373,20.616,1.122,1,9.353,"M1",3.123,0.987,62.164,5,2.572,0.79,0.688,9.42,"ja",48,0.392,8.012,9,21.028,9.217
7.102,21.422,1.361,0,9.57,"M1",2.067,0.839,60.831,5,4.676,0.856,0.507,9.31,"nein",46,0.02,6.995,8,18.086,26.009
7.318,20.686,1.264,1,11.837,"M1",3.304,0.966,60.808,6,2.646,0.716,0.773,9.155,"ja",46,0.192,6.741,11,25.432,16.475
7.39,20.029,0.894,1,11.069,"M2",3.204,1.007,59.631,5,6.916,0.852,0.632,6.926,"ja",35,0.82,6.712,8,17.994,28.023
6.918,21.579,1.306,0,10.724,"M1",3.72,0.942,66.189,7,4.339,0.932,0.797,8.154,"ja",41,0.855,8.047,8,16.967,13.765
6.784,20.272,1.291,2,10.176,"M1",2.615,0.995,59.247,6,1.783,0.61,0.563,7.527,"ja",38,0.452,7.532,10,21.186,13.856
7.067,20.868,1.296,0,10.181,"M1",3.843,0.962,60.956,8,5.696,0.772,0.588,9.848,"ja",49,0.739,7.228,7,15.65,12.529
7.265,20.047,1.316,0,11.088,"M1",2.623,0.984,62.873,6,6.307,0.747,0.977,9.173,"nein",47,0.699,7.28,6,12.342,26.081
6.849,20.696,1.269,0,11.479,"M2",3.761,0.909,60.56,5,3.922,0.834,0.534,7.574,"nein",38,0.784,8.548,5,11.28,28.176
6.434,18.834,1.363,1,9.601,"M2",3.822,1.123,56.689,5,2.094,0.788,0.476,9.8,"ja",50,0.89,8.86,13,29.664,14.461
6.916,19.392,1.24,1,11.017,"M2",2.895,0.842,59.528,6,5.998,0.843,0.463,8.126,"nein",40,0.281,5.032,10,22.998,33.801
6.775,21.586,1.219,0,10.309,"M2",3.452,0.979,63.503,9,3.364,0.955,0.539,7.993,"nein",40,0.908,6.492,7,15.707,30.139
6.517,18.781,1.155,1,9.965,"M1",3.063,1.384,56.911,5,4.391,0.789,0.489,8.265,"ja",42,0.657,7.316,4,8.954,8.896
7.067,18.562,1.284,1,11.027,"M3",2.123,1.259,55.419,7,6.65,0.898,0.503,7.976,"nein",39,0.179,6.667,7,14.361,27.282
7.165,19.873,1.131,2,11.954,"M1",2.423,0.886,60.281,6,1.082,0.768,0.746,8.632,"nein",43,0.009,6.252,5,11.345,27.815
7.623,19.418,1.031,2,12.833,"M1",2.173,1.132,56.891,6,1.253,0.708,0.862,7.682,"ja",39,0.291,7.009,7,14.402,21.072
7.235,20.41,1.124,2,11.661,"M1",3.474,1.034,58.8,4,4.121,0.746,0.52,8.431,"ja",41,0.734,6.569,5,12.309,14.915
6.968,21.005,1.233,0,10.499,"M1",2.675,1.094,67.54,6,4.823,0.74,0.509,7.249,"nein",36,0.024,7.552,6,13.506,26.25
6.29,21.394,1.518,1,8.505,"M2",2.942,1.217,62.52,5,3.346,0.766,0.527,9.245,"nein",47,0.95,6.792,11,24.786,25.494
6.848,20.061,1.037,1,10.498,"M1",3.913,1.01,62.548,6,4.745,0.773,0.92,9.329,"nein",48,0.82,7.122,5,10.939,25.446
7.285,20.472,1.151,1,10.708,"M3",3.099,1.159,60.96,6,1.499,0.823,0.987,9.101,"ja",45,0.296,6.757,5,10.351,15.012
7.511,18.761,1.035,3,11.336,"M2",3.424,1.463,57.47,4,2.511,0.965,0.709,10.024,"nein",50,0.488,6.408,7,14.643,37.406
6.275,18.074,1.337,1,9.525,"M1",2.847,0.812,55.964,4,4.011,0.811,0.876,8.536,"ja",42,0.486,8.362,7,14.484,8.679
6.894,21.798,1.27,0,10.197,"M3",2.985,1.038,65.085,5,1.337,0.824,0.698,8.073,"nein",41,0.654,7.967,6,14.484,23.383
6.575,19.233,1.108,1,9.006,"M1",3.754,1.154,56.731,7,4.842,0.722,0.83,9.778,"nein",49,0.898,8.45,7,14.393,22.994
7.501,22.257,0.932,0,11.286,"M1",2.867,1.004,66.265,5,1.443,0.99,0.443,7.119,"ja",35,0.211,6.62,7,15.427,22.173
6.533,19.402,1.241,2,8.59,"M3",3.353,0.996,54.73,5,2.523,0.887,0.564,7.997,"nein",41,0.152,9.062,6,12.031,22.174
7.081,19.685,1.285,0,11.55,"M1",3.292,1.599,60.274,7,1.792,0.688,0.406,9.439,"ja",46,0.111,7.265,8,20.075,12.538
7.173,19.746,1.238,1,11.699,"M3",3.643,1.31,57.663,9,3.608,0.871,0.915,9.066,"ja",45,0.727,6.825,7,15.21,14.088
7.266,22.052,1.084,0,11.017,"M2",2.102,1.129,60.472,5,6.036,0.657,0.737,8.092,"nein",41,0.5,5.519,11,27.458,35.151
6.707,17.231,1.197,1,10.087,"M2",2.934,1.002,52.227,6,3.187,0.671,0.533,7.716,"ja",39,0.14,6.773,7,16.179,20.115
6.471,19.804,1.221,0,10.038,"M2",3.434,0.973,60.062,5,3.219,0.769,0.809,7.343,"ja",36,0.47,6.487,5,11.186,15.546
6.262,20.572,1.253,0,9.807,"M1",3.394,0.99,62.65,4,6.654,0.702,0.495,8.975,"nein",45,0.355,8.257,11,22.371,22.239
7.593,19.696,1.004,2,11.029,"M2",2.126,0.555,59.898,9,2.167,1.04,0.591,9.683,"ja",48,0.333,6.28,9,19.418,26.826
6.991,20.861,1.315,2,10.592,"M3",2.017,0.872,59.893,2,4.04,0.874,0.558,9.681,"nein",48,0.328,7.648,8,16.963,26.151
6.853,20.262,1.168,0,10.646,"M2",2.36,1.015,59.228,7,1.564,0.854,0.481,7.336,"nein",38,0.946,5.961,9,19.381,32.759
7.404,19.189,1.011,0,11.004,"M1",3.11,0.784,55.992,4,5.422,0.8,0.467,9.368,"ja",47,1.031,7.938,8,18.097,18.716
6.366,19.257,1.204,0,10.667,"M2",3.263,1.056,61.494,8,1.721,0.814,0.426,8.282,"nein",41,0.527,6.43,6,14.049,28.552
7.669,20.618,1.1,1,11.449,"M3",2.426,0.683,62.084,9,6.63,0.737,0.737,8.206,"nein",41,0.512,6.909,8,17.95,33.043
7.538,17.525,1.084,1,11.065,"M3",2.701,1.163,52.994,3,1.722,0.916,0.86,7.52,"nein",38,0.681,7.724,10,20.412,33.788
6.483,20.019,1.126,0,10.403,"M2",3.732,1.002,58.623,6,5.145,0.857,0.412,8.611,"nein",44,0.287,7.593,8,18.324,30.045
7.023,18.199,1.24,1,10.456,"M1",3.272,1.22,58.143,5,6.312,0.828,0.885,9.933,"nein",49,0.415,7.43,9,19.651,27.375
6.769,19.571,1.122,1,9.571,"M2",2.372,1.083,58.465,8,5.666,0.689,0.841,9.136,"nein",47,0.931,6.911,7,16.428,30.194
6.893,19.734,1.2,1,9.999,"M1",3.382,1.018,63.213,8,1.308,0.745,0.741,8.647,"nein",42,0.3,7.814,9,20.671,25.96
5.786,19.192,1.154,1,9.569,"M1",3.279,1.381,59.412,5,5.671,0.785,0.5,9.344,"nein",47,0.625,4.686,6,13.802,17.414
7.285,19.343,1.229,0,10.955,"M1",3.835,1.023,55.955,7,4.556,0.722,0.661,8.955,"ja",45,0.363,7.014,8,16.715,16.015
7.041,19.725,1.231,0,10.443,"M2",3.093,0.716,60.382,6,3.245,0.828,0.468,8.27,"ja",42,0.751,6.266,6,13.135,20.621
7.226,20.663,1.398,2,10.66,"M1",2.906,1.067,63.188,9,5.918,0.705,0.838,9.069,"ja",47,0.671,6.08,11,23.833,15.088
7.05,20.749,1.194,0,10.208,"M3",2.1,1.049,60.249,8,4.959,0.67,0.451,8.729,"nein",44,0.028,7.081,10,23.892,27.977
6.692,19.308,1.218,0,10.398,"M2",2.849,0.986,56.893,7,1.853,0.721,0.981,7.529,"ja",39,0.473,6.535,11,20.649,18.854
7.191,18.64,1.193,2,10.088,"M1",2.665,1.341,56.763,6,4.48,0.864,0.508,9.094,"ja",44,0.532,7.971,9,19.569,16.111
6.943,19.704,1.406,2,11.541,"M1",3.623,1.285,58.743,7,6.585,0.857,0.568,9.062,"ja",45,0.193,5.924,4,7.672,9.397
6.735,19.578,1.237,1,8.632,"M1",3.559,0.89,56.555,9,4.007,0.943,0.454,7.556,"ja",38,0.271,6.045,8,18.615,14.511
6.854,19.895,1.23,0,9.336,"M3",3.465,0.918,60.167,6,3.269,0.869,0.815,7.836,"ja",39,0.084,7.18,8,15.353,13.838
6.391,19.159,1.197,2,10.549,"M2",3.63,1.197,56.735,7,5.256,0.753,0.809,9.445,"ja",48,0.518,6.192,5,11.683,11.574
6.898,20.328,1.266,0,10.381,"M2",2.653,1.253,59.929,11,3.71,0.876,0.887,8.825,"nein",43,0.962,7.133,9,20.862,30.963
7.043,19.406,1.193,1,9.823,"M1",2.542,1.028,56.962,7,1.218,0.82,0.673,8.847,"ja",43,0.235,7.284,6,13.088,13.577
6.845,20.327,1.146,3,10.912,"M1",3.703,0.972,61.128,2,2.52,0.673,0.941,7.859,"ja",39,0.231,8.883,8,17.246,13.24
6.356,20.374,1.152,1,8.574,"M3",2.661,1.113,59.417,5,4.344,0.89,0.409,8.457,"ja",42,0.913,5.665,5,11.169,8.125
7.011,19.218,1.082,0,10.641,"M1",2.259,0.849,59.257,5,6.563,0.777,0.986,9.795,"nein",50,0.668,5.99,10,22.076,29.303
6.885,20.755,1.415,1,9.391,"M2",2.409,0.973,61.709,5,1.323,0.861,0.621,7.124,"ja",36,0.023,6.083,10,21.685,21.66
7.913,20.551,1.184,2,12.869,"M2",3.389,0.984,62.136,6,4.725,0.834,0.437,9.078,"ja",46,0.502,7.776,7,14.99,25.877
7.229,17.768,1.294,1,10.714,"M1",2.654,0.799,51.487,6,2.147,0.594,0.587,9.159,"ja",47,0.449,7.321,7,15.414,15.284
6.93,19.594,1.282,0,10.387,"M3",3.523,1.028,61.319,8,2.506,0.733,0.632,9.248,"ja",44,0.587,7.868,9,19.871,12.903
6.69,20.239,1.414,2,9.682,"M3",1.979,0.753,59.42,5,1.879,0.694,0.66,9.359,"nein",48,0.537,5.458,9,17.91,23.997
6.467,18.691,1.228,2,9.402,"M2",3.82,0.983,56.472,5,2.753,0.806,0.607,8.988,"nein",46,0.734,8.748,6,12.707,28.439
6.78,20.136,1.421,2,11.149,"M1",3.991,0.744,64.075,5,4.585,0.581,0.511,8.242,"ja",40,0.347,7.883,5,11.344,10.202
7.248,20.158,1.095,1,11.595,"M1",3.481,1.037,63.257,5,1.024,0.874,0.784,8.778,"ja",45,0.303,6.474,5,11.17,14.7
7.102,20.239,1.162,1,10.504,"M1",1.988,1.077,60.503,6,1.626,0.971,0.917,9.659,"ja",49,0.438,7.688,7,15.757,12.564
7.336,20.092,1.119,1,10.082,"M1",2.297,1.242,61.517,4,3.168,1.013,0.657,7.383,"nein",36,0.02,8.017,8,19.154,30.584
6.754,19.9,1.241,0,10.206,"M2",3.031,0.694,58.762,5,1.916,0.856,0.636,8.778,"ja",43,0.632,7.384,6,13.63,17.212
7.303,20.648,1.206,2,11.552,"M2",2.7,0.775,61.57,7,3.085,0.738,0.855,7.887,"ja",39,0.195,7.186,9,19.967,23.073
6.994,20.311,1.177,2,11.136,"M3",2.352,0.793,58.893,7,5.859,0.592,0.926,7.917,"ja",39,0.372,7.343,5,9.934,13.764
6.73,19.453,1.212,4,10.775,"M1",3.604,0.767,56.743,5,5.981,0.846,0.462,7.202,"ja",37,0.468,6.365,9,18.716,15.656
