"V01","V02","V03","V04","V05","V06","V07","V08","V09","V10","Response"
6.266,19.117,1.327,1,9.319,"M1",2.88,8.418,3.266,5,-24.457
7.078,19.886,1.245,2,10.485,"M1",2.093,8.598,3.503,8,-25.264
6.886,20.004,1.227,2,9.885,"M1",2.434,7.322,2.679,5,-32.888
7.25,19.497,1.045,0,10.685,"M3",3.492,7.543,2.958,8,-27.972
6.975,21.259,1.173,0,11.323,"M3",3.138,7.786,2.057,7,-22.35
6.41,20.65,1.341,2,9.571,"M1",2.615,7.83,2.466,6,-36.291
7.236,19.95,1.159,0,11.627,"M1",3.716,7.412,2.803,7,-31.483
7.042,19.343,1.089,1,9.537,"M2",3.081,7.082,4.428,3,-16.615
6.958,17.742,1.196,1,11.277,"M2",2.388,8.31,3.504,10,-14.005
6.727,20.213,1.189,2,9.88,"M1",3.265,8.495,2.653,2,-26.911
6.97,19.888,1.081,1,11.79,"M2",2.842,7.62,2.158,7,-16.993
6.711,20.701,1.263,0,11.123,"M2",3.353,8.516,3.898,6,-15.934
7.495,21.449,1.136,0,11.701,"M2",2.845,8.163,3.28,7,-21.003
7.553,19.535,1.216,2,11.833,"M2",3.009,8.856,4.155,8,-7.022
6.514,18.652,1.276,0,9.86,"M3",3.998,7.559,1.968,6,-25.327
6.982,21.444,1.288,1,11.179,"M1",3.457,8.865,2.687,6,-30.682
7.002,21.593,1.214,2,11.639,"M2",3.844,7.155,3.972,7,-30.104
6.945,22.019,1.241,0,10.054,"M2",3.408,7.794,2.965,2,-26.983
6.968,20.86,1.168,1,9.513,"M2",2.799,8.41,3.96,9,-16.591
7.58,18.786,1.043,3,12.292,"M1",2.055,7.96,3.402,8,-20.819
