"V01","V02","V03","V04","V05","V06","V07","V08","V09","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","Response"
6.159,20.26,1.296,1,9.492,"M1",3.256,7.663,60.53,7,1.852,0.803,15.372,7.096,"nein",35,0.223,7.722,7,16.4,-8.744
7.1,20.734,1.283,0,10.061,"M1",2.4,8.067,63.537,7,5.517,0.65,20.147,7.264,"ja",37,0.866,6.914,6,13.026,16.462
6.484,20.519,1.217,1,9.848,"M1",2.969,8.166,58.572,6,4.225,0.762,13.156,9.268,"nein",46,0.357,8.096,9,19.817,-42.211
7.693,19.765,1.05,0,10.455,"M1",3.531,7.984,61.807,3,3.133,0.741,15.787,8.825,"ja",46,0.869,6.786,9,18.8,-24.767
7.118,21.289,1.133,0,10.305,"M1",2.165,8.202,60.969,9,3.966,0.734,14.417,7.548,"nein",37,0.901,6.02,7,15.709,-16.182
7.561,19.985,1.24,1,11.714,"M2",3.631,9.069,60.973,7,2.368,0.846,14.326,7.013,"ja",36,0.816,7.291,6,13.631,3.881
7.516,21.542,1.17,1,11.184,"M1",3.645,7.949,57.494,4,1.065,0.575,15.504,8.346,"nein",42,0.531,6.818,6,13.112,-20.158
7.251,17.64,1.039,0,11.824,"M3",3.939,8.52,53.462,5,5.897,0.687,15.23,7.664,"nein",38,0.825,7.189,6,13.725,7.671
7.167,17.654,1.436,2,9.641,"M1",3.444,7.336,54.005,6,5.657,0.751,16.043,7.911,"nein",40,0.495,7.421,6,12.387,2.57
7.277,20.323,1.13,0,10.182,"M1",2.137,7.357,61.526,6,3.552,0.827,12.961,8.989,"nein",44,0.823,6.086,11,24.148,-40.678
7.271,20.615,1.061,0,11.106,"M1",2.193,7.653,64.734,5,2.122,0.881,13.345,9.9,"ja",51,0.843,7.344,6,13.13,-62.532
7.514,20.336,1.317,1,11.238,"M1",2.926,9.015,62.013,9,6.252,0.698,12.234,7.279,"nein",36,0.745,6.603,10,21.211,-15.568
6.645,20.864,1.258,0,10.229,"M1",2.035,8.03,58.225,9,6.605,0.798,13.527,9.169,"ja",45,0.112,7.323,12,27.433,-45.802
7.084,20.014,1.051,0,10.676,"M1",3.021,7.463,61.866,1,1.897,0.609,16.666,8.346,"ja",43,0.536,7.358,8,17.173,-18.668
6.797,19.001,1.259,1,9.695,"M2",2.619,8.34,57.708,6,1.81,0.679,14.914,8.768,"ja",45,0.296,7.223,11,24.484,-10.911
6.583,21.084,1.246,2,8.985,"M3",2.961,8.408,59.752,4,6.31,0.765,15.187,9.415,"nein",46,0.132,7.554,5,12.066,-36.386
7.861,21.993,0.971,1,11.846,"M1",3.579,7.555,64.08,3,4.994,0.778,12.863,7.417,"ja",37,0.645,7.797,7,15.222,-37.83
7.31,20.294,1.353,0,10.231,"M1",3.959,7.743,61.782,7,6.063,0.681,17.758,8.685,"ja",43,0.764,5.651,8,18.56,-12.752
6.902,18.217,1.242,1,11.444,"M1",3.124,8.115,53.901,8,6.406,0.576,13.914,8.688,"ja",43,0.213,6.44,9,19.461,-26.674
7.174,19.792,1.278,0,10.435,"M1",3.048,8.946,58.195,10,5.906,0.709,14.605,8.438,"ja",43,0.401,7.182,7,15.385,-22.104
6.976,18.95,1.247,2,10.211,"M1",2.17,8.104,56.578,6,2.602,0.823,17.28,8.928,"nein",46,0.151,8.296,8,18.677,-1.766
6.429,19.472,1.118,3,9.431,"M1",3.795,7.59,58.392,8,3.19,0.68,15.51,9.261,"ja",46,0.062,4.701,7,16.968,-33.019
6.842,20.711,1.305,2,10.312,"M1",2.383,8.048,59.242,6,5.148,0.92,13.009,8.933,"nein",45,0.245,6.504,5,11.175,-48.655
6.701,21.062,1.167,0,9.888,"M2",3.289,8.132,64.39,7,4.751,0.786,15.825,7.325,"ja",37,0.862,6.636,9,18.642,0.52
7.362,19.451,1.138,0,11.528,"M2",3.685,7.813,59.171,6,5.472,0.676,13.727,8.634,"nein",42,0.762,8.28,6,13.233,-15.836
7.194,20.484,1.21,1,11.752,"M1",3.097,7.242,60.134,6,5.211,0.843,15.604,8.634,"ja",45,0.209,7.253,6,12.933,-30.648
6.866,21.016,1.377,1,10.679,"M1",3.841,7.241,63.101,4,4.036,0.74,13.898,8.379,"nein",42,0.755,6.103,7,16.199,-35.863
6.713,19.194,1.189,3,10.053,"M2",3.974,8.308,58.308,5,3.235,0.779,14.267,9.577,"ja",48,0.746,6.223,6,12.515,-30.598
7.051,20.794,1.212,1,9.825,"M1",2.344,8.097,66.449,3,3.04,0.867,14.477,9.087,"nein",45,0.221,7.389,6,13.312,-33.238
6.31,18.022,1.177,0,10.412,"M3",3.034,7.909,50.46,5,3.816,0.861,17.464,7.765,"nein",38,0.815,7.02,7,15.938,13.23
7.754,19.722,1.012,0,11.248,"M1",2.291,7.511,58.143,6,6.41,0.789,17.906,7.875,"ja",40,0.866,6.67,10,22.73,6.436
7.555,20.377,1.118,1,11.651,"M1",3.656,8.51,62.35,5,6.744,0.813,16.863,7.912,"nein",40,0.3,6.854,10,23.591,3.571
6.549,21.033,1.172,1,10.21,"M1",3.511,9.169,63.14,3,2.395,0.9,16.679,9.493,"ja",48,0.407,6.817,6,13.58,-28.122
7.642,19.551,1.269,3,12.395,"M1",3.145,7.904,63.249,7,6.506,0.672,18.897,7.865,"nein",39,0.85,6.645,10,22.952,20.713
7.557,20.4,1.277,1,11.054,"M2",3.208,8.127,58.493,4,2.344,0.873,15.783,7.273,"ja",36,0.593,6.713,7,15.094,7.299
7.088,20.999,1.106,0,10.833,"M1",3.747,7.301,63.739,4,2.87,0.672,13.232,9.261,"ja",46,0.073,6.922,5,10.971,-61.017
7.729,19.494,1.075,1,11.353,"M1",2.828,7.638,57.7,7,3.109,0.777,15.615,7.67,"nein",38,0.228,6.488,6,12.545,-3.906
6.688,20.08,1.127,0,10.424,"M1",2.683,7.712,62.929,6,5.288,0.782,16.011,7.326,"nein",36,0.865,7.561,5,11.533,-6.454
6.74,20.815,1.28,0,10.09,"M1",2.224,7.417,63.464,4,5.804,0.691,15.332,7.147,"nein",35,0.537,8.159,8,20.009,-10.613
7.398,18.414,1.127,2,11.632,"M1",3.484,8.513,57.671,4,1.919,0.88,17.717,8.76,"ja",43,0.688,6.194,7,15.664,2.003
7.423,20.024,1.169,1,11.759,"M1",3.549,6.071,60.638,9,4.644,0.707,11.93,8.87,"ja",45,0.478,7.212,7,14.985,-65.982
6.889,19.475,1.251,0,10.624,"M1",3.727,8.506,52.507,5,3.406,0.913,16.23,8.632,"ja",41,0.28,7.128,6,13.213,-14.231
6.681,19.557,1.114,0,9.488,"M1",2.253,8.416,57.382,5,4.283,0.827,14.196,7.315,"nein",37,0.086,6.488,7,15.333,-8.321
6.198,20.62,1.221,2,10.63,"M2",3.888,7.818,62.162,11,4.348,0.753,16.122,9.7,"nein",50,0.034,6.82,9,21.136,-18.794
7.53,19.544,1.292,0,10.817,"M1",2.349,8.469,60.097,5,3.126,0.987,14.223,7.926,"ja",40,0.698,6.842,8,17.779,-18.168
7.218,19.925,1.176,1,10.086,"M1",3.23,6.523,58.824,8,4.511,0.882,14.832,8.71,"nein",43,0.872,6.728,9,19.318,-30.792
8.012,18.826,1.167,1,11.293,"M1",2.313,7.807,58.264,4,4.269,0.748,17.042,8.81,"ja",45,0.448,7.612,6,13.099,-10.387
7.151,21.729,1.399,1,10.552,"M1",3.696,7.566,66.33,7,5.057,0.742,14.767,7.752,"ja",39,0.158,7.022,5,10.996,-34.206
7.398,22.107,1.28,0,10.641,"M1",2.87,7.977,68.419,10,5.608,0.877,18.852,7.605,"ja",38,0.32,6.672,11,24.211,4.317
7.555,20.945,1.124,3,12.273,"M1",2.214,8.217,63.831,9,6.633,0.742,15.297,8.012,"ja",40,0.367,6.252,10,20.715,-17.519
7.864,21.142,1.177,1,11.11,"M1",3.093,8.103,62.271,6,3.063,0.82,15.053,7.932,"nein",40,0.025,6.837,8,16.979,-15.37
7.847,20.82,1.082,1,11.68,"M1",3.198,7.888,59.531,4,1.945,0.982,14.558,8.241,"nein",42,0.137,8.516,7,14.675,-23.307
6.851,18.803,1.294,1,10.162,"M2",3.311,6.552,53.074,5,4.343,0.737,11.123,7.741,"ja",39,0.934,6.527,9,20.104,-34.183
7.371,19.924,1.101,2,10.264,"M3",2.835,8.564,56.095,4,3.517,0.808,14.703,9.442,"ja",47,0.798,6.531,8,18.136,-36.397
6.903,20.593,1.087,2,10.077,"M2",3.067,8.346,64.008,6,2.356,0.862,14.397,8.943,"ja",43,0.754,6.207,6,13.395,-25.991
6.762,20.353,1.104,0,10.696,"M2",3.27,7.27,56.635,6,7.055,0.682,14.462,8.363,"ja",41,0.546,5.896,7,15.518,-24.945
6.908,21.573,1.304,0,10.626,"M2",2.214,7.294,63.346,6,1.867,0.827,13.438,7.581,"ja",38,0.349,6.649,5,11.289,-30.366
6.512,18.854,1.307,1,9.805,"M1",3.737,7.626,57.082,9,2.815,0.663,12.143,7.321,"ja",36,0.882,5.962,9,19.93,-28.228
7.213,20.668,1.243,2,10.234,"M1",2.057,8.391,67.737,5,6.786,0.84,17.884,7.987,"ja",40,0.429,6.938,6,12.662,-1.229
7.38,19.931,1.318,1,10.533,"M1",2.992,8.444,61.552,6,5.184,0.835,13.048,7.528,"nein",38,0.888,6.202,7,15.222,-17.999
6.262,19.931,1.186,1,8.223,"M2",2.514,7.566,56.322,8,3.797,0.865,13.935,8.348,"ja",41,0.72,8.422,10,21.798,-20.862
8.043,21.375,1.178,1,11.28,"M3",3.164,7.186,67.906,5,6.795,0.816,18.908,8.043,"nein",40,0.832,6.61,11,25.888,7.496
6.271,19.006,1.131,2,9.442,"M1",3.846,8.614,59.078,2,3.029,0.868,12.357,8.943,"ja",44,0.812,6.893,8,18.057,-45.78
6.702,19.406,1.22,1,10.261,"M2",2.177,7.273,60.294,8,5.602,0.855,16.512,9.45,"nein",48,0.222,7.852,4,8.876,-17.636
8.078,20.606,0.998,0,11.345,"M1",3.886,8.301,60.597,7,2.842,0.941,16.182,8.259,"nein",42,0.506,7.039,7,14.341,-6.532
6.675,19.25,1.121,1,9.794,"M1",3.503,7.805,61.447,5,4.642,0.601,17.565,7.73,"ja",38,0.571,6.228,10,21.71,6.105
7.051,20.494,1.346,1,10.11,"M1",2.556,7.531,62.645,9,4.143,0.646,14.05,7.99,"ja",40,0.345,6.165,8,18.5,-29.959
7.852,19.835,1.129,2,10.817,"M1",3.019,7.966,61.828,8,2.433,0.669,12.786,7.482,"ja",38,0.057,7.239,6,13.596,-27.532
7.107,20.109,1.126,0,10.35,"M1",2.631,7.767,54.566,6,2.213,0.728,14.893,7.061,"ja",35,0.649,6.973,7,15.921,-12.849
6.847,21.376,1.112,0,9.804,"M1",3.598,8.541,64.347,5,6.456,0.839,12.512,9.983,"ja",49,0.865,7.38,5,10.501,-66.937
6.471,19.202,1.402,0,9.654,"M1",3.908,7.668,60.49,8,1.427,0.718,18.193,8.453,"ja",43,0.416,6.663,6,14.484,-7.195
6.5,19.884,1.345,2,10.361,"M3",3.752,8.281,60.704,7,3.366,0.708,15.113,9.931,"ja",49,0.214,6.998,9,18.221,-41.586
6.479,20.35,1.211,1,9.511,"M1",2.579,7.272,63.315,5,3.57,0.607,14.346,7.443,"nein",38,0.576,6.905,6,13.116,-23.089
7.285,20.711,1.214,2,11.113,"M2",2.458,8.788,62.382,8,4.141,0.749,14.199,9.559,"nein",47,0.932,6.972,6,11.281,-26.341
7.013,20.556,1.335,0,10.946,"M3",2.706,9.467,62.639,6,4.157,0.897,14.754,9.563,"ja",47,0.029,7.352,8,18.045,-38.565
7.435,19.764,1.217,0,10.758,"M1",3.922,8.552,59.45,6,1.459,0.798,19.81,9.635,"ja",50,0.138,6.866,10,22.156,-2.13
6.942,19.033,1.345,0,10.572,"M1",2.169,7.469,58.063,7,3.806,0.761,14.244,8.248,"ja",42,0.311,7.46,10,22.736,-24.142
7.641,19.896,1.053,1,12.279,"M1",3.771,7.578,59.702,5,4.405,0.862,14.806,7.107,"ja",35,0.42,6.052,9,20.636,-10.105
6.435,19.834,1.209,0,10.41,"M1",3.745,8.799,61.214,3,6.396,0.842,15.913,7.939,"ja",40,1.006,6.17,10,22.398,-6.892
6.77,19.725,1.293,1,9.373,"M3",3.531,8.175,54.949,8,2.625,0.754,14.016,8.714,"nein",43,0.749,6.631,7,15.707,-27.324
7.44,20.34,1.161,1,10.337,"M1",2.859,7.208,60.534,4,5.944,0.61,13.869,8.529,"nein",43,0.961,7.713,7,14.008,-31.449
6.626,20.903,1.29,2,10.658,"M1",3.422,7.357,58.716,6,5.235,0.55,16.091,7.296,"ja",37,0.767,7.251,6,13.738,-20.147
6.961,20.798,1.012,0,10.576,"M1",3.217,8.998,62.032,4,1.818,0.871,16.141,7.144,"ja",36,0.485,5.82,8,17.202,1.874
6.945,20.894,1.116,0,9.709,"M2",2.615,6.969,63.746,9,2.394,0.899,13.484,8.682,"ja",44,0.753,7.565,10,21.162,-36.624
6.841,19.068,1.083,1,9.451,"M1",2.322,7.497,57.963,8,6.333,0.817,18.198,9.803,"ja",48,0.944,6.253,10,21.802,-19.51
7.413,18.97,1.328,0,11.04,"M1",2.693,8.816,55.825,7,2.278,0.856,16.595,9.1,"nein",45,0.704,7.201,6,13.4,-8.683
6.611,19.212,1.251,2,10.219,"M1",3.36,7.531,59.198,6,3.608,0.863,15.565,9.083,"ja",46,0.261,6.856,7,16.109,-31.101
6.692,19.268,1.132,0,10.878,"M2",3.706,7.325,59.403,3,2.624,0.797,16.02,9.576,"ja",47,0.475,6.478,5,11.397,-23.623
7.053,21.538,1.412,0,11.047,"M2",3.834,8.717,66.516,6,5.899,0.792,14.242,8.749,"nein",44,0.66,6.636,9,20.479,-17.392
7.087,20.768,1.375,2,10.672,"M2",3.745,7.688,64.193,5,5.668,0.648,15.719,8.808,"ja",44,0.519,6.679,9,19.351,-20.498
6.692,20.503,1.15,0,9.902,"M1",2.712,7.704,59.781,6,1.516,0.715,17.461,9.778,"nein",49,0.974,7.208,5,11.167,-24.39
6.293,19.755,1.11,0,9.316,"M1",3.205,7.821,60.121,6,5.413,0.849,16.342,7.262,"ja",36,0.43,5.488,9,20.134,-3.84
7.144,19.606,1.27,0,10.871,"M1",4.028,8.526,58.306,8,5.061,1.043,11.527,7.534,"ja",38,0.757,7.551,7,14.774,-31.473
7.35,19.925,1.354,1,9.852,"M2",3.729,7.513,60.656,6,5.23,0.998,13.629,9.81,"ja",48,0.529,8.087,11,24.236,-37.219
7.052,20.026,1.261,1,9.268,"M1",3.025,8.254,61.706,3,3.364,0.782,11.824,8.694,"ja",43,0.407,7.423,9,18.318,-48.188
7.36,19.675,1.35,3,10.972,"M2",2.566,8.481,56.728,5,1.111,0.877,15.778,9.513,"nein",47,0.992,6.602,11,24.531,-8.498
7.051,20.459,1.09,0,10.933,"M1",2.681,7.716,60.009,4,2.487,0.914,14.164,7.279,"ja",36,0.676,7.959,6,13.984,-20.497
6.642,20.009,1.201,3,10.393,"M1",3.91,9.391,59.848,6,5.798,0.881,16.582,7.388,"ja",37,0.661,7.839,8,16.74,3.715
6.971,19.843,1.031,1,9.462,"M1",3.105,6.811,61.851,6,6.06,0.723,15.403,8.503,"ja",43,0.401,7.746,10,22.395,-28.08
7.092,21.281,1.088,1,10.125,"M2",3.557,8.239,63.371,8,3.28,0.825,15.584,7.614,"ja",38,0.817,7.051,5,11.208,-7.95
6.982,19.763,1.198,1,10.621,"M1",2.103,7.276,63.003,3,4.529,0.711,15.016,9.476,"nein",48,0.651,7.514,8,17.649,-36.531
6.611,20.931,1.167,1,10.532,"M1",3.187,7.903,60.108,7,2.738,0.813,16.484,9.508,"ja",48,0.096,6.835,9,20.379,-36.978
6.026,20.963,1.041,0,9.411,"M1",2.859,9.197,59.159,6,6.185,0.934,15.244,7.175,"nein",36,0.124,6.486,5,10.136,-6.223
7.332,21.352,1.427,0,10.535,"M3",2.884,8.332,66.226,6,2.266,1.038,12.531,8.522,"ja",42,0.204,7.088,4,8.13,-55.501
7.257,20.367,1.143,1,11.169,"M2",3.432,7.362,60.556,5,1.407,0.662,15.143,8.546,"nein",43,0.844,6.841,8,18.852,-14.413
6.121,22.305,1.262,2,9.02,"M2",2.523,8.177,67.398,7,3.781,0.895,14.815,7.525,"nein",39,0.672,6.847,11,24.667,-6.734
7.07,19.723,1.121,2,10.397,"M1",2.27,8.086,58.282,3,6.8,0.84,16.769,7.89,"nein",39,0.508,6.901,8,16.608,4.695
7.102,19.944,1.132,3,9.463,"M2",3.819,7.963,60.267,5,4.061,0.733,12.685,7.364,"ja",38,0.444,6.564,7,15.281,-16.073
6.728,20.462,1.11,0,10.387,"M1",3.737,7.707,59.144,9,2.971,0.75,13.775,8.625,"ja",43,0.411,8.483,10,21.989,-37.929
6.489,19.969,1.16,0,9.885,"M1",3.482,7.641,61.61,7,6.846,0.799,14.621,9.462,"ja",48,0.283,6.827,7,16.345,-47.879
6.654,21.798,1.266,0,9.989,"M1",2.259,6.743,61.805,3,4.396,0.933,10.592,9.161,"nein",45,0.345,6.713,8,16.706,-75.897
6.708,20.342,1.028,0,10.656,"M2",2.344,8.63,64.37,5,4.739,0.736,11.943,8.906,"ja",44,0.614,7.087,9,19.681,-35.754
7.065,18.089,1.371,1,11.808,"M1",2.96,8.959,52.739,7,3.649,0.852,17.319,7.052,"ja",35,0.313,8.29,9,20.808,24.368
6.641,20.538,1.11,3,10.432,"M2",3.132,7.96,61.599,6,3.715,0.665,14.268,8.671,"nein",44,0.401,6.948,8,17.236,-20.129
7.951,20.037,1.146,1,11.799,"M1",2.233,6.489,58.295,4,6.425,0.819,14.024,8.514,"nein",42,0.461,7.931,11,24.461,-27.479
6.838,19.933,1.205,1,9.898,"M1",2.616,7.495,58.975,9,4.386,0.832,13.508,9.423,"ja",47,0.931,7.204,8,18.498,-54.231
6.442,20.836,1.179,1,10.581,"M1",2.287,8.687,61.621,4,3.101,0.997,15.948,7.809,"nein",38,0.012,7.897,9,21.59,-5.273
8.064,21.049,0.935,1,12.928,"M1",2.187,8.753,62.829,6,6.568,0.82,13.183,8.362,"ja",41,0.503,6.934,5,10.733,-35.955
6.834,19.948,1.129,1,10.374,"M1",3.272,8.069,57.212,6,3.835,0.764,12.627,8.522,"ja",43,0.745,7.268,9,19.257,-42.41
7.647,21.175,1.103,1,10.806,"M1",2.421,8.685,58.724,8,5.889,0.893,15.593,7.764,"nein",39,0.448,8.418,11,25.299,-1.913
7.604,20.346,1.11,2,11.956,"M3",2.98,7.456,63.047,5,5.829,0.82,12.72,8.18,"ja",42,0.057,7.764,11,24.821,-37.857
6.768,21.968,1.127,0,10.198,"M2",2.884,8.023,57.632,8,2.287,0.945,12.601,9.147,"ja",46,0.301,6.884,5,10.046,-51.131
7.44,21.072,1.228,0,13.041,"M3",2.282,8.226,66.121,6,4.313,0.847,12.928,7.164,"nein",35,0.309,6.745,10,22.487,-15.767
6.824,18.819,1.188,2,10.61,"M1",2.274,7.16,53.565,4,2.572,0.906,15.616,8.754,"ja",44,0.858,7.669,8,18.663,-26.622
7.189,21.067,1.335,1,11.248,"M1",2.11,8.862,64.296,6,4.677,0.717,10.932,8.816,"nein",44,0.6,6.796,9,19.161,-48.075
6.89,20.082,1.228,1,10.146,"M1",3.709,7.864,60.59,7,2.767,0.92,14.804,8.138,"nein",41,0.936,8.228,8,18.754,-17.344
5.904,19.591,1.218,0,8.772,"M3",2.963,7.562,57.369,5,5.545,0.776,19.027,9.901,"nein",49,0.93,7.606,7,15.413,-14.636
7.101,19.818,1.249,1,12.495,"M2",2.385,7.552,58.129,4,4.536,0.806,16.37,9.359,"nein",47,0.634,6.97,7,14.479,-11.2
7.205,21.475,1.219,0,10.233,"M2",2.208,8.236,64.814,9,4.798,0.847,15.92,7.727,"ja",38,0.56,5.649,7,15.682,-3.964
7.856,22.635,1.072,1,12.868,"M3",2.266,7.758,67.466,6,2.019,0.851,17.476,7.722,"nein",38,0.674,6.404,6,12.821,-4.707
7.101,20.604,1.159,1,10.27,"M1",2.693,7.851,58.539,3,5.745,0.834,11.534,7.045,"ja",36,0.742,6.986,7,14.299,-38.771
6.955,18.202,1.324,1,10.715,"M1",2.365,8.251,56.803,7,3.984,0.908,16.027,9.658,"ja",49,0.208,8.776,9,18.497,-25.796
6.844,19.75,1.281,0,9.349,"M2",2.151,7.934,59.251,4,3.925,0.849,14.088,7.033,"nein",35,0.814,8.132,8,18.556,2.931
6.289,20.3,1.181,1,9.613,"M2",2.313,8.997,61.045,4,4.356,0.827,14.023,8.683,"nein",44,0.198,5.449,9,21.08,-9.369
