"V01","V02","V03","V04","V05","V06","V07","V08","V09","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","Response"
7.583,20.412,1.286,2,12.321,"M1",3.733,1.171,3.175,6,3.592,0.823,0.975,7.768,"ja",38,0.428,6.354,10,13.439,-155.297
6.602,19.954,1.229,1,9.184,"M1",3.219,0.883,3.696,5,2.794,0.748,0.5,9.292,"nein",47,0.764,6.073,9,10.329,-176.395
6.768,19.823,1.321,1,10.34,"M1",2.567,1.13,3.324,4,2.531,0.728,0.951,8.518,"ja",42,0.021,8.383,10,15.046,-163.036
7.155,21.054,1.295,0,10.757,"M1",2.964,1.23,2.444,7,7.048,0.577,0.559,7.75,"nein",38,0.407,6.976,9,14.682,-158.529
6.262,19.017,1.246,1,9.132,"M2",3.953,1.036,2.837,7,5.653,0.769,0.544,9.87,"ja",50,0.224,7.202,4,12.951,-181.045
7.233,20.491,1.277,1,11.418,"M1",3.277,1.189,2.676,6,4.921,0.857,0.957,7.37,"nein",36,0.272,7.416,10,14.236,-144.729
7.617,19.431,1.288,1,10.129,"M1",3.061,0.871,3.098,7,3.95,0.757,0.414,7.238,"ja",37,0.477,7.975,6,11.413,-155.527
7.398,20.993,1.036,1,12.026,"M1",2.231,0.858,3.084,7,6.774,0.813,0.894,7.84,"ja",40,0.043,6.388,10,11.831,-163.284
6.375,18.374,1.168,3,9.221,"M2",3.187,1.421,3.503,6,1.776,0.946,0.749,8.623,"nein",44,0.111,7.268,8,10.2,-147.691
6.69,18.945,1.116,2,10.94,"M2",2.632,1.194,2.537,6,4.751,0.838,0.909,8.014,"ja",39,0.829,8.187,6,13.974,-146.772
6.617,19.631,1.341,1,10.597,"M1",3.021,1.157,3.75,8,3.752,0.84,0.882,8.283,"nein",41,0.718,7.594,7,15.07,-160.301
6.899,21.061,1.106,0,10.801,"M1",3.693,1.033,3.346,3,1.496,0.848,0.515,9.483,"nein",47,0.698,7.287,6,11.267,-182.123
6.864,19.448,1.114,3,10.219,"M1",2.947,1.177,4.242,7,2.961,0.71,0.72,7.421,"ja",38,0.876,8.196,4,10.593,-159.181
6.416,21.226,1.11,2,9.901,"M1",3.804,1.232,2.832,5,3.393,0.707,0.577,9.677,"nein",49,0.857,7.826,9,12.741,-183.845
6.878,19.199,1.266,0,10.332,"M1",3.957,1.065,3.555,7,4.777,0.73,0.569,8.736,"nein",44,0.269,6.644,8,11.056,-162.974
6.907,19.093,1.217,0,10.685,"M3",3.427,0.74,3.971,9,1.801,0.772,0.693,7.079,"ja",35,0.496,7.724,7,13.664,-147.19
6.716,18.27,1.416,1,10.272,"M1",2.692,0.954,2.869,2,1.055,0.903,0.9,8.435,"ja",43,0.203,6.582,7,13.232,-163.688
7.167,19.513,1.22,0,9.602,"M1",3.021,0.982,1.685,6,4.69,0.782,0.852,8.879,"nein",44,0.893,6.532,6,10.736,-162.951
7.074,19.477,1.221,1,10.025,"M1",2.326,0.578,3.721,6,5.85,0.752,0.439,7.256,"ja",36,0.77,7.921,7,10.245,-157.512
6.918,21.217,1.39,2,10.482,"M1",2.315,0.635,2.633,6,1.166,0.833,0.59,8.587,"ja",42,0.962,6.783,10,14.84,-177.376
6.449,19.209,1.069,0,10.522,"M1",2.475,0.884,3.913,5,6.153,0.77,0.811,7.36,"ja",37,0.995,6.745,7,14.684,-155.009
7.833,19.601,1.112,1,11.479,"M1",2.457,1.163,3.644,3,1.975,0.753,0.47,9.126,"nein",45,0.673,7.048,6,12.778,-165.549
6.655,20.607,1.184,1,9.964,"M1",3.465,1.122,2.948,8,4.95,0.999,0.582,9.701,"ja",49,0.758,7.164,9,11.584,-185.101
6.721,20.809,1.321,1,10.077,"M2",2.504,0.813,3.45,5,6.507,0.796,0.767,8.3,"nein",43,0.124,8.354,9,10.055,-153.772
7.235,18.519,1.256,3,10.371,"M2",3.487,0.731,2.134,3,6.493,0.795,0.759,9.697,"ja",49,0.64,7.103,6,14.602,-168.347
7.077,20.091,1.201,3,11.143,"M1",3.271,0.918,2.061,7,2.897,0.914,0.836,9.282,"ja",47,0.338,7.323,11,11.661,-177.072
7.332,20.848,1.214,2,11.004,"M2",2.992,1.057,2.887,7,5.656,0.917,0.81,10.045,"nein",50,0.886,7.474,4,13.997,-174.609
7.135,20.163,1.233,2,10.014,"M2",3.47,1.024,3.163,5,6.33,0.988,0.669,7.881,"ja",39,0.667,7.018,7,12.984,-148.71
7.018,21.252,1.306,2,10.834,"M2",2.877,1.227,4.118,5,5.701,0.664,0.465,9.624,"ja",47,0.86,7.373,7,13.41,-179.058
6.056,19.345,1.141,1,8.52,"M3",2.285,1.063,2.14,2,1.87,0.692,0.972,8.367,"nein",41,0.554,7.008,8,12.183,-157.362
7.109,20.245,1.201,2,10.67,"M1",2.596,1.112,4.163,7,3.708,0.784,0.611,8.346,"nein",41,0.564,6.911,8,14.613,-160.341
7.188,20.832,1.308,2,11.422,"M2",3.517,1.118,3.385,7,5.546,0.748,0.902,8.617,"nein",41,0.715,5.416,7,10.126,-154.535
7.595,20.477,1.353,1,11.467,"M1",2.839,0.941,2.953,6,5.09,0.774,0.76,7.125,"ja",35,0.059,6.812,9,11.879,-148.845
7.274,19.98,1.334,1,10.066,"M1",2.104,0.899,2.631,7,4.815,0.875,0.871,7.688,"ja",38,0.452,6.737,6,10.135,-160.897
6.697,22.056,1.376,1,9.61,"M1",3.424,0.864,1.569,6,4.716,0.82,0.839,8.608,"ja",44,0.616,5.501,11,11.845,-179.404
7.848,21.116,1.276,1,12.175,"M2",3.605,0.994,2.301,4,5.558,0.833,0.724,9.294,"ja",46,0.115,5.72,8,13.771,-168.02
7.051,20.439,1.373,1,12.545,"M1",3.254,1.059,2.951,6,5.882,0.908,0.44,9.115,"nein",48,0.409,7.944,5,10.464,-180.069
8.391,21.251,1.206,0,13.331,"M1",2.315,1.4,4.15,6,6.886,0.646,0.493,8.391,"nein",42,0.452,6.355,7,11.966,-163.691
7.264,18.538,0.994,2,11.111,"M1",3.548,1.298,3.333,5,3.796,0.664,0.481,8.176,"ja",41,0.671,6.476,6,11.401,-160.331
7.169,19.865,1.155,2,10.542,"M2",3.408,0.919,2.614,5,2.967,0.819,0.99,8.734,"nein",43,0.742,7.058,9,14.192,-151.018
7.394,20.934,1.238,0,11.199,"M2",3.925,1.062,3.75,4,1.978,0.903,0.905,9.322,"nein",46,0.417,6.787,9,10.491,-160.085
7.445,21.211,1.099,0,11.648,"M1",3.906,1.289,4.504,9,6.42,0.71,0.427,7.525,"ja",37,0.134,7.057,8,15.04,-160.538
7.073,19.493,1.253,3,10.211,"M3",2.407,0.794,4.398,4,4.529,0.685,0.658,7.865,"nein",38,0.138,10.018,7,12.292,-152.608
6.627,20.955,1.18,3,10.518,"M1",3.373,0.855,4.124,8,2.019,0.919,0.541,8.897,"ja",45,0.837,6.924,6,11.476,-183.027
6.68,19.622,1.272,2,9.04,"M1",3.057,0.925,3.275,7,3.116,0.669,0.485,8.994,"nein",44,0.303,7.489,9,13.72,-170.641
6.16,21.521,1.176,2,9.649,"M2",3.942,1.344,2.93,7,2.941,0.764,0.706,9.314,"ja",46,0.446,6.915,6,13.71,-180.022
6.894,19.807,1.208,0,10.776,"M1",2.728,1.409,3.589,6,4.702,0.914,0.568,8.315,"nein",41,0.224,6.508,5,13.969,-165.465
7.009,19.127,1.194,3,9.912,"M1",2.443,0.443,4.298,8,5.086,0.935,0.737,7.108,"nein",35,0.303,6.907,8,14.474,-146.482
7.97,20.677,1.215,0,10.54,"M1",3.76,0.544,2.238,5,4.15,0.825,0.472,9.145,"nein",48,0.126,7.56,8,11.805,-175.038
7.175,19.648,1.182,1,10,"M1",2.677,0.884,3.708,6,6.032,0.79,0.949,10.064,"nein",50,0.781,5.846,8,11.381,-179.963
6.436,20.384,0.98,0,9.652,"M1",2.573,1.075,3.292,4,5.461,0.739,0.836,8.018,"ja",41,0.747,6.197,9,13.428,-164.794
7.293,20.66,1.228,1,12.108,"M1",3.673,1.324,3.497,5,5.19,0.886,0.933,7.249,"ja",36,0.104,7.027,8,11.336,-153.126
6.338,19.981,1.364,0,8.913,"M1",2.846,1.234,3.202,5,6.888,1.033,0.851,7.88,"nein",39,0.721,7.383,7,14.563,-156.642
6.987,20.647,1.318,2,9.185,"M1",3.288,0.527,2.83,5,4.073,0.772,0.51,9.825,"ja",50,0.133,7.924,8,11.841,-191.844
6.762,18.995,1.217,1,9.807,"M2",2.041,0.964,4.185,7,5.959,0.709,0.972,7.637,"ja",38,0.156,7.038,7,14.119,-142.722
6.496,18.632,1.228,0,10.178,"M1",3.376,1.008,3.424,7,3.737,0.898,0.6,9.402,"ja",47,0.324,7.264,8,12.561,-181.896
7.25,20.483,1.03,1,9.914,"M1",2.466,1.134,3.727,7,2.833,0.688,0.466,8.779,"nein",43,0.002,6.968,4,14.121,-169.987
6.554,20.184,1.116,1,10.196,"M2",3.659,0.909,3.53,5,2.958,0.724,0.765,8.136,"ja",41,0.968,6.973,8,11.948,-157.982
6.602,19.473,1.197,1,10.687,"M1",3.738,0.403,2.305,6,2.282,0.775,0.777,7.44,"ja",38,0.747,6.47,10,14.258,-161.566
6.811,19.161,1.266,1,10.103,"M1",2.146,0.988,1.95,9,5.396,0.774,0.874,7.399,"nein",37,0.221,7.013,8,10.446,-144.443
6.546,21.587,0.974,0,9.433,"M1",3.1,0.982,2.581,7,1.273,0.717,0.818,7.72,"nein",38,0.964,7.786,4,13.915,-164.833
7.063,18.701,1.065,1,9.733,"M2",3.946,0.773,2.821,7,6.196,0.719,0.975,7.496,"ja",37,0.19,6.606,8,13.151,-134.128
6.982,19.36,0.968,0,11.057,"M2",3.152,1.127,2.328,7,3.874,1.061,0.835,7.525,"ja",37,0.26,6.429,5,12.804,-141.136
7.264,18.848,1.218,0,10.732,"M1",3.921,0.766,2.36,5,3.751,0.715,0.857,8.714,"nein",43,0.799,6.016,8,11.029,-163.625
6.541,19.829,1.011,0,10.493,"M2",3.071,1.053,3.923,7,5.363,0.753,0.779,7.624,"ja",38,0.231,8.444,10,11.57,-144.384
6.837,21.661,1.274,1,9.577,"M2",2.246,0.782,4.557,4,4.445,0.777,0.504,8.471,"ja",43,0.141,7.322,5,11.26,-174.985
7.15,20.909,1.232,2,10.43,"M2",3.394,0.836,3.076,5,4.361,0.81,0.5,8.588,"nein",43,0.913,7.487,8,13.101,-157.272
6.946,20.137,1.239,0,9.89,"M1",2.539,1.183,2.899,8,0.987,0.81,0.923,9.432,"ja",48,0.597,7.761,5,13.288,-183.054
6.914,21.022,1.365,2,11.099,"M3",3.829,0.892,3.29,4,4.213,0.815,0.902,9.951,"nein",49,0.727,7.862,9,10.818,-187.084
6.1,19.877,1.175,0,10.088,"M3",3.264,0.781,2.999,6,2.211,0.854,0.497,9.664,"ja",50,0.357,6.055,6,14.528,-195.505
6.57,19.514,1.249,1,8.988,"M1",2.323,1.076,3.274,5,2.959,0.764,0.561,8.718,"ja",43,0.328,5.584,5,13.162,-176.178
7.066,20.135,1.192,0,10.974,"M1",2.814,1.118,2.902,8,4.258,0.85,0.813,9.18,"nein",46,0.339,6.602,7,12.272,-171.94
6.757,20.559,1.13,0,9.199,"M3",3.366,0.759,4.448,8,4.033,0.835,0.464,7.763,"nein",39,0.709,7.44,5,14.137,-160.502
6.789,21.244,1.171,0,9.783,"M1",2.119,0.983,3.581,7,1.633,0.707,0.995,8.13,"nein",41,0.383,8.489,9,10.998,-159.044
7.361,21.275,1.133,2,10.511,"M1",2.662,1.099,3.396,7,2.541,0.753,0.979,7.918,"ja",40,0.344,7.822,7,11.149,-163.854
5.918,19.661,0.955,1,7.783,"M1",3.787,1.164,1.899,6,1.722,0.855,0.406,6.931,"nein",35,0.511,7.141,14,10.785,-142.598
6.703,18.894,1.242,0,9.717,"M1",2.715,0.99,3.809,7,1.205,0.908,0.533,8.442,"ja",43,0.17,7.323,10,11.197,-164.782
6.576,20.946,1.242,1,10.39,"M2",2.992,0.83,3.429,5,2.584,0.611,0.461,7.828,"nein",39,0.084,6.39,7,15.002,-152.709
7.733,18.664,1.135,3,10.051,"M2",3.891,0.989,4.591,9,4.269,0.777,0.499,8.518,"ja",42,0.418,7.201,9,13.977,-150.028
6.568,21.019,1.133,2,9.332,"M3",2.286,0.805,3.667,8,1.395,0.878,0.595,9.25,"ja",46,0.626,6.838,10,11.087,-188.49
7.743,20.518,0.985,1,12.329,"M1",3.894,0.654,2.96,4,3.749,0.861,0.735,9.707,"nein",49,0.245,7.667,7,13.702,-182.532
7.055,19.807,1.089,1,10.817,"M1",2.517,1.069,2.214,7,6.597,0.93,0.418,9.223,"ja",46,0.27,8.245,12,13.527,-175.884
7.293,19.273,1.215,1,10.834,"M3",3.805,1.249,1.991,6,2.944,0.961,0.717,8.916,"nein",44,0.816,7.363,6,10.057,-161.921
6.517,21.789,1.271,0,9.654,"M2",2.37,1.663,2.861,6,2.765,0.694,0.424,8.299,"ja",42,0.222,8.414,7,13.25,-168.319
6.881,19.734,1.223,0,10.273,"M3",2.78,1.062,3.774,3,3.237,0.699,0.544,8.961,"nein",45,0.086,5.237,8,13.557,-167.454
6.485,21.802,1.186,1,9.438,"M2",3.833,0.984,3.411,8,1.637,0.837,0.99,9.423,"ja",47,0.032,7.89,10,11.154,-175.602
6.916,19.343,1.425,1,10.309,"M1",2.949,1.061,3.946,7,5.401,0.872,0.602,9.041,"ja",45,0.523,7.381,6,13.732,-178.097
6.64,19.985,1.339,2,10.422,"M3",3.375,0.384,3.803,3,2.736,0.976,0.937,8.61,"ja",43,0.594,7.012,12,11.217,-172.179
6.356,20.725,1.046,2,10.1,"M2",3.08,0.859,3.021,7,1.323,0.94,0.679,9.015,"ja",43,0.757,7.324,7,11.441,-168.507
7.738,18.584,1.257,0,11.804,"M1",3.879,0.879,2.699,4,6.084,0.803,0.985,7.633,"nein",38,0.045,7.475,8,12.629,-144.105
7.117,19.24,1.071,0,10.795,"M1",3.524,1.086,4.543,6,3.199,0.856,0.495,8.826,"ja",45,0.317,7.339,7,13.822,-174.125
6.661,18.831,1.101,0,10.128,"M1",3.268,1.285,2.546,8,3.83,0.794,0.552,9.411,"ja",47,0.988,6.195,7,10.588,-174.763
6.835,20.17,1.465,2,10.431,"M2",2.686,1.129,3.134,5,1.811,0.858,0.549,8.718,"nein",44,0.704,7,5,12.417,-161.67
6.439,19.119,1.09,2,8.978,"M1",3.979,1.312,3.281,6,1.316,0.721,0.789,7.067,"ja",35,0.821,7.968,8,10.594,-146.986
6.556,17.693,1.242,1,9.852,"M1",2.181,0.852,2.747,4,3.75,0.779,0.73,9.984,"ja",49,0.666,7.417,10,12.156,-177.724
6.916,20.061,1.203,1,11.021,"M1",2.035,0.828,2.058,7,3.391,0.688,0.678,7.348,"ja",37,0.503,7.085,5,15.089,-165.832
6.707,21.992,1.373,1,9.803,"M2",2.928,0.893,2.795,8,5.11,0.756,0.53,9.795,"ja",49,0.599,8.165,9,10.959,-190.339
6.982,20.33,1.086,0,10.192,"M1",2.676,0.977,4.815,7,2.698,0.849,0.535,7.273,"ja",37,0.891,6.881,6,10.744,-163.092
7.079,20.703,1.214,3,10.373,"M2",3.758,0.989,2.207,7,5.099,0.77,0.876,9.791,"nein",49,0.533,7.648,9,15.111,-167.898
6.962,18.855,1.321,4,10.315,"M1",2.275,1.057,3.039,6,2.575,0.776,0.556,7.992,"ja",41,0.154,6.871,12,10.326,-156.328
6.211,20.899,1.228,2,9.734,"M1",2.191,1.2,3.495,3,3.563,0.717,0.738,9.771,"ja",49,0.171,5.354,4,11.955,-198.935
