"V01","V02","V03","V04","V05","V06","V07","V08","V09","V10","Response"
6.637,20.63,1.119,0,9.959,"M1",2.236,6.684,61.995,6,12.639
7.409,22.105,1.129,2,11.331,"M2",2.389,7.79,65.383,7,22.145
6.916,20.253,1.411,0,9.484,"M1",3.07,8.237,61.178,5,12.27
7.269,20.109,1.36,2,10.804,"M1",2.134,7.637,59.759,7,15.621
7.49,18.963,1.127,1,10.61,"M2",2.36,6.991,60.319,4,25.314
6.948,19.62,1.297,1,10.097,"M1",3.713,7.954,58.345,2,13.754
7.053,20.26,1.301,2,9.871,"M2",2.332,8.139,61.952,9,20.435
7.078,20.892,1.217,1,11.104,"M1",2.322,8.768,62.864,8,13.867
7.269,20.694,1.116,3,11.439,"M2",3.022,7.837,63.731,7,22.575
6.958,19.894,1.126,1,11.238,"M1",2.44,7.849,57.953,4,15.04
6.683,20.822,1.145,0,9.26,"M1",2.175,8.994,61.745,8,10.745
7.438,21.325,1.113,1,10.903,"M1",2.058,8.398,65.633,10,17.705
6.841,19.859,1.131,0,10.672,"M2",3.375,7.42,58.304,7,19.18
6.594,21.481,1.125,0,10.629,"M1",3.962,7.955,58.338,7,11.501
7.483,18.179,1.196,2,10.267,"M1",2.324,7.613,52.866,6,19.568
7.146,19.24,1.266,0,9.943,"M1",3.907,7.049,57.599,9,15.887
7.26,19.838,1.243,1,10.901,"M1",3.65,7.317,59.147,8,16.061
6.314,18.462,1.039,0,8.556,"M1",3.726,8.451,55.379,3,12.164
6.689,19.847,1.165,1,9.51,"M1",2.98,8.119,65.617,6,10.928
6.835,20.622,1.332,2,10.221,"M1",3.16,7.598,59.145,6,11.675
7.195,19.721,1.27,1,11.617,"M1",1.984,7.922,56.771,3,15.512
6.662,21.406,0.972,0,10.397,"M1",2.194,8.739,61.572,7,13.25
7.257,20.137,0.997,4,10.374,"M2",2.925,7.675,60.79,4,23.031
7.321,17.831,1.377,1,10.877,"M2",3.827,8.708,52.681,8,22.859
6.977,19.737,1.12,1,10.129,"M1",2.019,8.627,57.839,5,13.608
7.254,18.955,1.217,0,9.891,"M2",3.306,7.985,58.729,8,22.31
7.652,19.443,1.276,1,11.289,"M1",3.378,8.34,61.31,8,18.949
7.13,19.199,1.276,1,10.114,"M1",3.498,8.941,57.733,6,14.79
6.701,19.391,1.071,4,9.428,"M2",3.685,7.482,59.789,7,19.74
7.115,18.256,1.059,0,11.834,"M1",3.624,8.343,58.054,5,16.992
7.249,20.409,1.069,1,11.372,"M2",3.301,7.839,63.695,4,21.346
7.233,19.286,1.113,0,10.082,"M1",3.097,7.805,61.148,6,17.391
7.228,17.778,1.212,1,10.073,"M1",3.398,8.052,52.309,9,17.41
7.777,18.676,1.075,0,11.445,"M1",2.325,7.984,58.314,4,22.143
7.587,22.255,1.211,1,10.758,"M1",3.045,8.231,67.77,6,17.307
6.632,19.666,1.45,2,10.315,"M1",3.755,8.707,58.106,3,9.299
7.655,18.666,1.293,2,10.932,"M1",2.724,7.056,56.849,9,20.781
6.957,20.488,1.243,1,10.63,"M1",3.637,8.167,61.956,2,13.725
6.378,20.514,1.145,0,9.959,"M2",3.946,7.762,61.586,8,15.898
6.996,20.435,1.268,2,10.673,"M1",2.55,8.421,63.786,5,13.109
6.297,18.598,1.177,1,9.368,"M1",3.701,7.787,54.684,7,10.011
6.778,19.506,1.05,0,10.33,"M1",3.886,7.67,58.054,9,13.796
7.462,20.707,1.278,0,11.448,"M1",2.993,8.84,60.951,6,17.181
6.961,20.305,1.437,1,9.847,"M1",2.122,7.488,60.731,5,11.675
7.658,18.881,1.041,2,10.284,"M1",2.226,8.176,51.981,4,22.04
6.489,20.265,1.233,2,10.526,"M2",2.481,8.105,62.118,5,14.854
7.351,20.181,1.158,1,11.325,"M1",2.355,6.665,61.225,5,17.428
7.049,19.707,1.129,2,11.089,"M1",3.325,8.073,57.343,9,15.879
7.307,19.673,1.15,4,11.78,"M2",2.156,7.458,57.616,5,24.009
6.409,19.106,1.283,1,11.176,"M1",2.831,8.335,57.67,7,10.274
6.349,17.603,1.332,1,9.716,"M1",2.089,7.729,54.703,5,9.731
7.347,20.203,1.196,2,11.411,"M1",3.72,7.135,54.732,8,16.786
8.205,20.03,1.299,0,11.825,"M2",3.133,7.31,61.788,7,29.289
6.448,19.241,1.229,3,10.109,"M1",3.002,7.014,59.361,5,10.114
6.64,21.821,1.227,1,10.155,"M1",3.123,7.753,68.715,6,11.039
7.243,18.081,1.006,0,11.789,"M2",2.666,7.535,54.415,7,22.812
7.238,21.746,1.264,2,12.017,"M2",2.032,7.902,63.268,4,20.77
7.242,20.011,1.05,1,11.073,"M1",3.86,8.199,62.317,7,18.747
7.152,19.272,1.278,1,11.07,"M1",2.767,8.409,57.808,5,15.86
6.871,20.33,1.162,0,10,"M1",2.227,8.615,60.273,2,12.963
7.197,19.804,1.294,1,10.75,"M1",2.096,7.716,64.493,7,15.19
6.726,20.683,1.135,0,9.862,"M2",3.937,7.645,62.302,7,18.348
7.389,18.259,1.307,1,11.691,"M3",3.063,8.425,55.092,5,17.469
7.264,18.713,1.316,0,11.939,"M1",3.219,8.635,60.905,5,16.459
7.577,20.212,1.241,0,13.125,"M2",2.308,7.068,60.071,5,25.092
6.953,19.61,0.961,3,10.971,"M1",3.896,7.455,58.991,4,17.149
6.792,19.329,1.145,2,10.533,"M1",2.173,7.902,60.846,4,13.311
7.31,19.417,1.144,0,10.188,"M1",3.602,7.75,58.831,6,19.226
7.418,18.351,1.287,1,9.649,"M1",3.792,8.458,56.945,3,18.201
6.574,18.669,1.132,0,8.809,"M1",2.612,8.105,57.638,10,12.325
6.507,21.643,1.19,3,10.279,"M2",2.369,8.432,63.29,7,14.741
7.511,19.408,1.128,0,10.868,"M1",2.349,8.068,57.742,3,18.499
6.752,19.519,1.059,1,9.95,"M1",2.699,6.875,59.633,9,13.514
6.707,20.374,1.254,0,11.49,"M2",2.473,8.131,61.362,8,18.138
7.182,20.225,1.102,1,10.218,"M3",3.287,8.646,57.507,4,15.709
7.172,20.817,1.219,1,11.606,"M1",2.419,8.722,67.711,7,15.934
6.942,21.276,1.173,0,9.871,"M1",3.69,7.891,65.599,5,14.034
7.258,19.172,1.395,0,11.807,"M1",2.417,7.442,56.063,8,15.412
7.48,20.25,1.074,2,10.745,"M2",2.537,8.706,60.166,4,24.451
6.7,18.28,1.071,2,10.454,"M2",2.302,6.575,57.057,7,19.944
7.145,18.579,1.064,1,11.544,"M1",2.602,7.459,55.271,6,17.692
6.882,18.585,1.285,3,10.89,"M3",2.07,8.376,58.238,6,13.523
7.602,20.651,1.365,2,11.396,"M1",2.969,7.53,65.323,5,18.785
6.423,20.244,1.317,1,9.491,"M3",2.504,8.214,59.014,5,8.992
6.86,17.932,1.151,0,10.069,"M2",2.239,8.296,56.033,6,19.798
6.58,21.295,1.168,0,9.2,"M2",3.497,7.815,64.039,5,10.599
7.021,18.225,1.215,1,9.594,"M2",4.014,7.953,54.024,8,20.155
6.68,19.213,1.136,2,10.027,"M1",2.112,6.89,61.616,4,13.33
6.717,20.99,1.233,2,10.197,"M2",3.155,7.562,63.571,8,16.512
7.417,20.683,1.263,1,11.797,"M1",2.96,7.298,62.294,3,17.572
6.391,20.899,1.266,0,9.848,"M1",3.789,9.682,61.811,6,8.752
7.441,19.992,1.155,0,11.203,"M1",2.807,8.115,65.898,7,18.219
6.645,21.886,1.179,0,10.187,"M1",2.17,7.889,66.975,7,11.197
6.672,20.397,1.159,2,9.738,"M1",2.298,8.179,60.437,6,12.883
6.972,19.889,1.105,1,10.555,"M1",3.563,7.847,58.066,5,15.143
6.515,20.006,1.281,0,9.733,"M2",2.51,8.407,59.56,6,15.205
6.906,19.33,1.254,0,9.609,"M1",3.272,7.275,57.154,8,13.113
7.112,19.629,1.219,0,11.124,"M2",3.582,8.07,62.27,10,18.909
6.509,21.432,1.192,2,9.512,"M1",2.567,8.225,64.132,5,9.339
7.516,19.901,1.091,2,10.968,"M1",3.225,7.167,65.522,4,19.931
7.404,20.942,1.075,0,10.386,"M2",3.569,8.286,58.682,5,22.974
6.916,20.646,0.977,0,11.068,"M1",3.492,8.049,65.26,7,14.629
6.974,20.743,1.073,3,11.105,"M3",2.67,8.462,60.79,6,14.902
6.915,18.019,1.175,1,9.95,"M2",2.533,7.235,51.843,8,21.422
6.499,18.998,1.113,2,9.022,"M1",3.856,7.963,52.76,7,11.44
7.16,18.643,1.115,0,11.074,"M1",2.08,8.091,53.182,5,16.764
7.471,20.707,1.282,0,12.216,"M3",3.484,8.466,59.925,7,17.765
7.425,19.93,1.105,0,11.189,"M2",2.282,6.974,62.83,5,23.683
7.177,20.36,1.216,0,10.598,"M1",3.759,7.638,64.169,7,16.18
6.986,21.317,1.348,0,10.915,"M1",2.714,8.337,66.402,5,13.217
6.776,20.838,1.135,0,10.702,"M1",3.428,8.363,67.601,8,13.53
8.303,19.029,1.111,3,13.312,"M2",2.803,7.804,59.15,6,30.894
6.964,20.26,1.259,0,9.831,"M2",3.626,7.116,59.09,6,18.854
7.379,21.156,1.143,1,10.804,"M2",2.771,7.881,63.727,8,22.256
7.353,21.333,1.145,3,11.088,"M1",3.435,8.68,63.336,4,17.399
7.374,20.154,1.161,1,11.083,"M1",3.123,7.121,59.898,7,19.044
6.65,19.363,1.212,1,10.559,"M1",2.46,8.595,57.129,5,11.429
7.441,21.38,1.247,1,11.793,"M1",2.49,7.34,60.993,8,17.273
