"V01","V02","V03","V04","V05","V06","V07","V08","V09","V10","Response"
6.847,19.373,1.259,0,11.042,"M2",3.11,1.012,2.199,6,22.357
7.081,19.375,1.11,1,10.689,"M1",2.067,0.723,3.375,6,21.91
6.615,19.142,1.149,0,9.531,"M1",2.241,0.707,2.263,6,16.74
6.72,19.943,1.313,0,9.994,"M1",3.572,0.582,2.786,4,17.272
6.756,19.796,1.246,0,9.935,"M3",3.812,0.997,3.639,8,16.142
6.837,19.725,1.081,2,8.257,"M3",3.424,1.205,2.268,6,18.858
6.767,19.307,1.299,0,10.727,"M1",2.939,1.27,3.204,6,17.279
7.269,19.922,1.106,1,10.439,"M1",3.543,1.104,4.903,7,21.302
6.364,19.528,1.125,1,9.798,"M2",3.557,0.985,3.744,6,19.799
7.073,19.932,1.045,1,11.089,"M2",3.756,1.162,2.409,8,25.86
6.225,19.892,1.121,3,9.011,"M1",2.378,0.948,1.516,5,13.995
7.099,18.748,1.289,2,10.177,"M3",2.587,0.718,3.073,6,20.108
6.694,20.765,1.272,1,9.98,"M2",2.893,1.381,3.714,7,19.661
7.687,19.612,1.257,0,11.109,"M1",3.151,1.094,2.411,7,24.088
6.895,22.159,1.219,0,10.403,"M2",2.698,0.889,3.203,5,23.801
7.112,17.58,1.2,1,9.807,"M1",2.91,1.09,4.404,9,20.527
6.513,19.575,1.186,0,9.896,"M1",3.833,0.906,2.813,7,15.459
7.361,20.295,1.195,1,10.64,"M1",2.282,1.397,2.478,5,21.577
8.277,17.963,1.194,0,11.996,"M1",3.491,0.974,4.283,7,31.155
7.075,20.781,1.163,0,10.314,"M2",3.117,0.905,3.292,6,23.927
6.854,22.19,1.172,0,10.597,"M1",3.739,1.122,3.076,10,17.368
7.028,18.437,1.156,1,9.654,"M1",2.015,1.036,4.147,6,20.311
7.254,20.073,1.086,1,11.377,"M1",2.545,1.287,3.341,4,21.599
6.839,19.963,1.097,1,10.625,"M1",3.723,1.256,2.734,4,18.133
7.392,19.392,1.127,1,10.303,"M1",3.87,0.846,3.568,9,22.513
6.965,19.474,1.219,1,10.497,"M1",3.913,0.861,1.646,5,19.448
6.137,19.672,1.092,1,9.289,"M1",2.183,1.192,4.494,6,13.177
7.345,20.688,1.187,0,10.505,"M2",3.272,0.999,2.778,4,26.618
7.429,20.377,1.268,1,11.311,"M1",2.291,1.069,4.689,6,21.444
7.038,18.831,1.289,0,11.114,"M2",3.568,0.571,3.174,4,25.804
6.988,20.322,1.191,2,9.85,"M2",2.945,1.068,2.247,6,23.254
7.621,20.791,0.953,1,10.157,"M1",3.127,1.16,2.712,5,25.419
6.898,18.816,1.248,1,9.682,"M1",3.69,1.023,3.873,5,18.289
7.582,19.458,1.046,0,12.368,"M2",3.098,0.919,2.178,8,30.233
7.073,19.915,0.961,0,11.263,"M1",2.066,1.112,2.477,7,21.061
7.196,19.333,1.327,2,11.023,"M1",3.852,0.832,3.901,2,20.121
7.283,19.145,0.987,2,11.126,"M1",3.035,0.998,2.34,7,23.679
7.213,20.932,1.333,1,12.382,"M1",2.578,0.807,3.087,6,21.041
7.739,18.84,1.169,1,12.827,"M3",2.952,0.794,3.827,7,26.581
6.779,19.199,1.374,0,10.968,"M3",3.663,1.11,3.112,6,15.844
7.552,18.535,1.24,1,12.033,"M1",2.336,1.308,2.745,4,24.303
7.21,20.701,1.243,0,10.931,"M3",2.494,0.985,4.624,8,21.136
7.451,20.035,1.192,1,11.021,"M2",2.034,0.998,3.991,4,29.645
7.297,21.511,0.913,2,10.693,"M1",3.774,1.086,4.092,5,22.495
6.945,20.984,1.069,1,10.616,"M1",3.657,0.779,3.454,3,19.973
6.071,19.784,1.08,1,8.363,"M3",3.411,1.118,2.239,8,12.947
7.035,20.806,1.274,0,10.562,"M1",3.179,1.051,2.798,8,18.435
7.41,19.939,1.13,2,9.91,"M1",3.531,1.096,3.158,4,22.388
7.075,20.078,1.192,0,9.399,"M1",2.093,1.229,3.012,5,19.4
7.134,20.18,1.138,0,10.231,"M1",3.229,0.956,2.583,6,19.446
6.683,20.414,1.23,0,9.714,"M1",3.845,1.111,3.481,5,15.324
7.007,20.65,1.012,2,9.688,"M1",3.222,1.013,3.14,4,19.643
